sample_id,score
816,0.99260197
141,1.99324457
812,2.01652549
1214,0.98900214
1159,0.6184151
11428,0.67045022
834,1.76526377
1944,1.01588289
1200,1.62265753
976,1.00784226
11319,0.00495704
828,0.00855687
1047,0.98900214
742,0.00359983
786,0.7762616300000001
952,0.97736168
1929,0.03543762
1005,0.00359983
11317,0.00359983
129,0.96076418
1089,1.76526377
1036,0.04039466
1937,0.02019733
1923,0.02019733
1027,-0.0066834199999999
134,1.15713192
11396,0.6386124300000001
11398,0.18608449
777,-0.0066834199999999
11485,0.15288949
766,1.04772068
11266,1.00424243
11470,-0.01164046
11432,0.6502528900000001
11474,0.03183779
11422,0.02019733
1275,0.02155454
849,0.05203512
896,0.7762616300000001
11400,1.6356552
11386,0.00359983
1942,0.03679483
991,1.4229146899999998
11337,0.62697197
1015,0.98900214
1000,0.87687648
1964,0.0165975
11469,0.00855687
11339,1.00424243
11322,0.00991408
719,0.2954957299999999
11288,0.00855687
744,0.00719966
1926,0.02155454
933,1.02083993
1963,-0.00804063
962,0.98900214
937,0.97600447
1302,0.98764493
11389,0.03543762
11385,1.00559964
11311,0.02019733
1166,0.12960857
11431,0.00495704
11325,0.00359983
11393,0.02019733
11263,0.18968432
1945,0.02155454
142,0.7444238400000001
948,0.02155454
11463,0.02155454
11429,0.02515437
813,0.98900214
775,0.96076418
11430,0.0165975
1121,1.99324457
1938,0.14620607
1129,1.02083993
1105,0.8665932300000001
783,0.94214879
1052,0.14756328
11241,0.14260624
843,1.00288522
11468,0.14260624
135,1.00424243
731,-0.0066834199999999
801,1.00784226
1059,1.02083993
1959,0.64221226
1956,0.00719966
1924,0.00855687
1271,0.97240464
7098,0.00855687
732,1.0006426
1078,0.17308682
1098,0.93050833
1919,0.0091074668
1936,-0.0066834199999999
14549,0.59513418
1058,0.02019733
1933,0.40106762
11394,0.00495704
1282,0.98900214
11294,0.0165975
11391,0.0406699584
1119,1.00919947
1203,0.65520993
11289,0.03679483
1934,0.02379716
11395,0.04843529
1239,-0.01164046
14553,0.01524029
11326,0.65385272
716,-0.0066834199999999
1085,-0.0066834199999999
894,0.14260624
1034,0.01524029
7095,-0.0066834199999999
966,1.99992799
1146,0.16144636
1103,0.0165975
1104,0.03183779
1114,1.00424243
1943,1.14189163
1955,0.02155454
1183,0.02155454
1960,0.60677464
1940,0.0
11476,0.15784653
1941,0.02019733
7099,0.03183779
791,0.00359983
1953,-0.00804063
1258,0.98900214
14552,0.1542467
1958,0.01524029
11320,0.02155454
11323,0.00495704
746,0.02019733
1010,0.05203512
1931,0.02019733
11314,0.7762616300000001
11472,0.80809942
11342,1.0984133800000002
850,0.99260197
1029,0.63996964
785,0.7915019200000001
981,1.00559964
736,0.02155454
1019,0.97736168
1046,0.30713619
797,0.14620607
931,-0.01164046
751,1.00919947
1045,-0.02328092
1137,0.02019733
787,1.14189163
11399,0.03679483
859,0.03679483
886,1.03248039
11265,-0.02328092
11465,-0.00804063
11340,0.73278338
946,0.02155454
1172,0.03679483
871,0.00495704
1935,0.00855687
11293,-0.00804063
11417,0.04039466
1952,0.0
851,0.00855687
1195,1.60741724
11397,0.02155454
1932,0.03679483
11321,0.00495704
149,0.00495704
1123,0.16144636
1951,0.97240464
11341,0.02019733
892,0.02019733
