PRS name,Metabolite Levels,Metabolite Levels PRS,Pathway Diff Scores,Pathway Diff Scores PRS,Reaction Diff Scores,Reaction Diff Scores PRS,Metabolite Levels Pathway Combined,Metabolite Levels Pathway Combined PRS,Metabolite Levels Reaction Combined,Metabolite Levels Reaction Combined PRS,Prs Score 
PGS004863,2.6036097624386474,2.3210483372623782,2.1585387540906185,1.8122541364062317,2.680893769099462,2.9337586122826016,3.248801612952639,2.4708269934170892,2.5257622052097823,2.993238335340448,0.8809854290597149
PGS000945,2.6036097624386474,3.3548509564089564,2.1585387540906185,2.524878821097688,2.680893769099462,2.490410845551833,3.248801612952639,3.654112101254027,2.5257622052097823,3.644452464599389,1.358135923342439
PGS004229,2.6036097624386474,3.3854930733043114,2.1585387540906185,2.221323189311603,2.680893769099462,2.532320632299086,3.248801612952639,2.4894005641515737,2.5257622052097823,2.532320632299086,0.9002939798598053
PGS004590,2.6036097624386474,2.6374695332485345,2.1585387540906185,2.4918612580449695,2.680893769099462,2.043088690511142,3.248801612952639,2.678825715586381,2.5257622052097823,2.3447545867591177,0.7197685628000206
PGS002280,2.6036097624386474,2.1438841741589525,2.1585387540906185,1.7012051191951465,2.680893769099462,2.419162267321578,3.248801612952639,2.4547896399570925,2.5257622052097823,2.3924770148851677,1.1647527344726911
PGS004062,2.6036097624386474,2.8927126122376734,2.1585387540906185,2.85413072826024,2.680893769099462,3.493454197550868,3.248801612952639,3.230247587843578,2.5257622052097823,3.8546675386595344,1.428027269110508
PGS003957,2.6036097624386474,3.4237372167197666,2.1585387540906185,3.4775224483204012,2.680893769099462,2.8183584262946666,3.248801612952639,3.3661241581584957,2.5257622052097823,2.7949194809393756,1.1058438308152265
PGS001348,2.6036097624386474,3.5224526999968986,2.1585387540906185,2.524878821097688,2.680893769099462,3.263527342778228,3.248801612952639,3.283125169546954,2.5257622052097823,4.19539651279899,0.5825874957375258
PGS003958,2.6036097624386474,3.9688004075887355,2.1585387540906185,1.9174173153216945,2.680893769099462,3.81531824065692,3.248801612952639,4.459798339098534,2.5257622052097823,1.6026591498177405,1.4287110387467272
PGS004289,2.6036097624386474,2.0470787125017273,2.1585387540906185,1.5700896728838927,2.680893769099462,2.042793926810121,3.248801612952639,2.0479838633859906,2.5257622052097823,1.958349014730979,1.1654257592076565
PGS001828,2.6036097624386474,3.384540528487121,2.1585387540906185,2.8336615325295873,2.680893769099462,3.3791104468741575,3.248801612952639,3.176890756524979,2.5257622052097823,3.7462746762920003,1.261411945907163
PGS004116,2.6036097624386474,2.5617402171502643,2.1585387540906185,1.778369424001306,2.680893769099462,2.05454256892927,3.248801612952639,2.5617402171502657,2.5257622052097823,2.3348430763898222,0.8307411118817314
PGS001775,2.6036097624386474,2.413828050324048,2.1585387540906185,2.2972913730832243,2.680893769099462,2.1073953417399336,3.248801612952639,2.4688437303737603,2.5257622052097823,2.498414456844484,1.1765998227081618
PGS004008,2.6036097624386474,2.378431726563252,2.1585387540906185,2.3001969178095494,2.680893769099462,2.1401989025791304,3.248801612952639,2.0533299212977068,2.5257622052097823,2.1401989025791304,1.3013475755617228
PGS004287,2.6036097624386474,2.251595388718789,2.1585387540906185,2.040934014817697,2.680893769099462,3.9614531182085915,3.248801612952639,2.224111420779277,2.5257622052097823,2.355517560673464,1.2422506190353935
PGS003955,2.6036097624386474,2.5956147029486094,2.1585387540906185,2.4010719330593786,2.680893769099462,2.2765254771501215,3.248801612952639,3.1541138976373593,2.5257622052097823,2.2765254771501215,1.1891172256686438
PGS003954,2.6036097624386474,3.501788863330913,2.1585387540906185,1.9174173153216945,2.680893769099462,4.062026637053745,3.248801612952639,3.492105666729559,2.5257622052097823,4.333740644364334,0.8904999861528822
PGS004288,2.6036097624386474,3.063828480108591,2.1585387540906185,1.8245376326774385,2.680893769099462,1.9278057757935438,3.248801612952639,3.1289868920024198,2.5257622052097823,1.8801026031874002,1.0618855565506615
PGS000025,2.6036097624386474,2.878738715773032,2.1585387540906185,2.323654065499376,2.680893769099462,2.21258519382373,3.248801612952639,2.6868714772527973,2.5257622052097823,2.4326345282780535,0.9578335697076393
PGS004228,2.6036097624386474,2.4643013368117406,2.1585387540906185,2.1911943824118265,2.680893769099462,2.3833761071507484,3.248801612952639,2.9481038906216472,2.5257622052097823,2.3833761071507484,0.8563956319506296
PGS002731,2.6036097624386474,2.8466837189265624,2.1585387540906185,2.420178354871832,2.680893769099462,1.7956078732986074,3.248801612952639,2.6966699098441382,2.5257622052097823,3.032637843686178,0.8809073623115837
