PRS name,Metabolite Levels,Metabolite Levels PRS,Pathway Diff Scores,Pathway Diff Scores PRS,Reaction Diff Scores,Reaction Diff Scores PRS,Metabolite Levels Pathway Combined,Metabolite Levels Pathway Combined PRS,Metabolite Levels Reaction Combined,Metabolite Levels Reaction Combined PRS,Prs Score 
PGS000898,2.1059553634478587,1.4284521443215505,1.780909020065869,1.3792491267208542,1.905969084035562,1.3212561290984015,2.973963898756811,1.3792491267208542,1.905969084035562,1.3212561290984015,2.296810779971218
PGS004863,2.1059553634478587,2.1059553634478587,1.780909020065869,2.0777647978087095,1.905969084035562,1.905969084035562,2.973963898756811,2.973963898756811,1.905969084035562,1.905969084035562,0.0675576662405678
PGS000945,2.1059553634478587,4.105122892749102,1.780909020065869,4.626227493598309,1.905969084035562,4.356883345232117,2.973963898756811,4.105122892749102,1.905969084035562,4.356883345232117,0.8737183962589175
PGS004590,2.1059553634478587,1.917006808527217,1.780909020065869,2.6331012352223557,1.905969084035562,1.917006808527217,2.973963898756811,1.917006808527217,1.905969084035562,1.917006808527217,0.8687041967906619
PGS002280,2.1059553634478587,2.1059553634478587,1.780909020065869,2.0777647978087095,1.905969084035562,1.905969084035562,2.973963898756811,2.973963898756811,1.905969084035562,1.905969084035562,0.0675576662405678
PGS003574,2.1059553634478587,2.0499572338957015,1.780909020065869,2.0154274189920334,1.905969084035562,2.0499572338957015,2.973963898756811,2.0499572338957015,1.905969084035562,2.0499572338957015,1.1233417331692155
PGS001348,2.1059553634478587,4.2386157688543475,1.780909020065869,4.2386157688543475,1.905969084035562,4.2386157688543475,2.973963898756811,4.2386157688543475,1.905969084035562,4.2386157688543475,1.1588843960733
PGS000876,2.1059553634478587,1.6295472400210491,1.780909020065869,3.0369785298914955,1.905969084035562,1.9354006061198354,2.973963898756811,2.0529512917771546,1.905969084035562,1.9354006061198354,0.8090772841933391
PGS004289,2.1059553634478587,2.3750027739026587,1.780909020065869,2.4731677865800266,1.905969084035562,3.1772150742142173,2.973963898756811,3.1772150742142173,1.905969084035562,3.1772150742142173,0.8779636793884404
PGS000812,2.1059553634478587,1.353951995585835,1.780909020065869,1.66285419350959,1.905969084035562,1.353951995585835,2.973963898756811,1.353951995585835,1.905969084035562,2.8047195298452094,0.46473231364476925
PGS000053,2.1059553634478587,1.6436553569902181,1.780909020065869,1.201787344824591,1.905969084035562,1.5638700129292744,2.973963898756811,1.539672614548114,1.905969084035562,1.5638700129292744,1.119639927643447
PGS001828,2.1059553634478587,3.6225422379202956,1.780909020065869,4.787602268736344,1.905969084035562,3.6225422379202956,2.973963898756811,3.6225422379202956,1.905969084035562,3.6225422379202956,0.9521648910742025
PGS000054,2.1059553634478587,2.3365670333522033,1.780909020065869,1.7777609850797964,1.905969084035562,1.6479038828760215,2.973963898756811,1.8040062126761227,1.905969084035562,1.6479038828760215,0.6307223592521155
PGS000334,2.1059553634478587,3.1361765033770324,1.780909020065869,3.4225470688676225,1.905969084035562,5.197925082829705,2.973963898756811,3.1361765033770324,1.905969084035562,2.9595123567864605,1.6711510879796958
PGS004287,2.1059553634478587,4.503780755864761,1.780909020065869,2.8799814923908165,1.905969084035562,4.503780755864761,2.973963898756811,4.503780755864761,1.905969084035562,4.503780755864761,0.6964542463279896
PGS000811,2.1059553634478587,2.2656367351348017,1.780909020065869,2.3035287640903106,1.905969084035562,2.6693905451681093,2.973963898756811,1.798308898312912,1.905969084035562,2.6693905451681093,2.032696508560963
PGS003955,2.1059553634478587,2.1059553634478587,1.780909020065869,1.780909020065869,1.905969084035562,1.905969084035562,2.973963898756811,2.973963898756811,1.905969084035562,1.905969084035562,9.703505796335563e-09
PGS003954,2.1059553634478587,2.1059553634478587,1.780909020065869,1.780909020065869,1.905969084035562,1.905969084035562,2.973963898756811,2.973963898756811,1.905969084035562,1.905969084035562,9.703505796335563e-09
PGS004288,2.1059553634478587,3.03041697855455,1.780909020065869,2.257523030161249,1.905969084035562,3.7026829247698636,2.973963898756811,3.03041697855455,1.905969084035562,2.434567657723266,1.0067818548401508
PGS000025,2.1059553634478587,1.6746316678565936,1.780909020065869,1.5770782589598369,1.905969084035562,2.152099851585419,2.973963898756811,1.6282985208415295,1.905969084035562,1.521824793610006,0.6674112176501026
PGS004918,2.1059553634478587,4.8627622190535105,1.780909020065869,6.817189889258808,1.905969084035562,5.13530717297613,2.973963898756811,5.13530717297613,1.905969084035562,5.13530717297613,0.7397826590044125
PGS002731,2.1059553634478587,1.6169541350456946,1.780909020065869,1.823114493370516,1.905969084035562,1.6169541350456946,2.973963898756811,1.6169541350456946,1.905969084035562,1.6169541350456946,1.3809152146808639
PGS004285,2.1059553634478587,3.03041697855455,1.780909020065869,1.990153806077482,1.905969084035562,2.229500180807808,2.973963898756811,2.671730885906318,1.905969084035562,2.45371652036798,0.6479418499894358
PGS003956,2.1059553634478587,2.1059553634478587,1.780909020065869,1.780909020065869,1.905969084035562,1.905969084035562,2.973963898756811,2.973963898756811,1.905969084035562,1.905969084035562,9.703505796335563e-09
PGS004286,2.1059553634478587,2.4741737797797776,1.780909020065869,2.2666834819659623,1.905969084035562,2.65247986164522,2.973963898756811,2.375002773902659,1.905969084035562,2.65247986164522,1.0547383331961109
PGS001349,2.1059553634478587,4.2386157688543475,1.780909020065869,4.2386157688543475,1.905969084035562,4.027032723309933,2.973963898756811,4.027032723309933,1.905969084035562,4.027032723309933,1.1588843960733
PGS000026,2.1059553634478587,1.656088858067614,1.780909020065869,2.689421824959297,1.905969084035562,0.95440937861731,2.973963898756811,1.4966326240497356,1.905969084035562,1.4966326240497356,0.6484771152953643
PGS004227,2.1059553634478587,3.8331744575853,1.780909020065869,3.434949676348565,1.905969084035562,2.1584509579312865,2.973963898756811,3.434949676348565,1.905969084035562,2.876621987969604,2.0077402855721944
