sample_id,score
MAP12788806,-1.8035626209999998
MAP13485298,-2.2546206879999997
MAP13747771,-1.691215004
MAP14184286,-1.479833698
MAP14452889,-0.46838525099999995
MAP14498577,-1.4569582849999998
MAP15387421,-0.9744460149999999
MAP16322424,-1.5757423219999998
MAP16513683,-0.820492647
MAP17929065,-1.4953034310000002
MAP18920002,-1.1636140660000003
MAP21362537,-0.639581823
MAP22776575,-1.467266639
MAP22868024,-1.5142775910000004
MAP23004922,-1.282170703
MAP24073245,-1.515761354
MAP24141372,-1.4612342019999998
MAP24219409,-1.1081232509999999
MAP24644776,-2.1421048689999993
MAP24680888,-0.7633936060000001
MAP24747976,-1.2785316249999998
MAP25580771,-1.7283254189999997
MAP27242962,-1.4797950029999998
MAP27313862,-1.4033954670000002
MAP27481601,-0.6452175449999997
MAP29821047,-0.504004543
MAP31504924,-1.8244732690000005
MAP31509843,-1.6922510530000003
MAP31756046,-1.6787552960000003
MAP32383679,-1.832418185
MAP32705437,-1.8349316709999999
MAP33084399,-0.4691565230000001
MAP33400773,-1.3628091729999998
MAP33501827,-0.37240660599999986
MAP34726040,-1.7419612039999999
MAP34962204,-1.7580617420000002
MAP35072859,-1.5349374449999997
MAP35170130,-1.5789046870000003
MAP35286551,-1.2412685850000005
MAP35592862,-1.756497191
MAP35941263,-0.4069765220000001
MAP36773029,-1.2443108560000002
MAP36830117,-1.876273227
MAP37178462,-1.136896422
MAP37251992,-1.5737553520000003
MAP37439930,-1.7727979889999994
MAP37527863,-1.6721014309999997
MAP38606123,-1.978798712
MAP39125441,-1.8306840919999996
MAP39136480,-0.659168328
MAP39316600,-1.6367299160000002
MAP39800111,-1.293997628
MAP39989287,-1.551177879
MAP40510997,-1.5040383640000001
MAP40611041,-0.5893843119999999
MAP41265021,-0.5513554890000002
MAP42988567,-0.7055066410000003
MAP43074402,-0.38886352200000013
MAP43485807,-1.277302324
MAP43536587,-1.7374183420000002
MAP44019405,-1.161629712
MAP44299049,-1.5302831749999999
MAP44472870,-1.5872414209999999
MAP44671043,-1.3869228690000004
MAP45115248,-1.9819132780000002
MAP45514725,-1.7613918189999997
MAP45566083,-1.8335457679999996
MAP46000440,-0.605347413
MAP46291609,-1.381967826
MAP46369736,-2.13516001
MAP46547648,-1.532976181
MAP47315778,-1.2588393230000001
MAP47652086,-1.55000721
MAP48013463,-1.838231233
MAP48697089,-1.258626112
MAP50100770,-1.5466122199999999
MAP50100932,-0.686931373
MAP50101073,-0.6870387910000001
MAP50101109,-1.6528769829999999
MAP50102088,-1.7538200359999998
MAP50102376,-1.402900457
MAP50102790,-1.730389062
MAP50103093,-1.3511523309999995
MAP50103129,-0.34218656300000017
MAP50103381,-0.2435236110000002
MAP50104396,-1.994556212
MAP50105301,-1.4658916169999996
MAP50105987,-1.388627895
MAP50106280,-2.0526426069999997
MAP50106316,-1.780313009
MAP50106442,-1.532171663
MAP50106992,-0.07983065200000006
MAP50107745,-0.19064336200000026
MAP50107871,-0.666772825
MAP50107907,-0.7399225059999999
MAP50108048,-1.711019535
MAP50108462,-1.9328152569999997
MAP50108598,-1.8287724580000002
MAP50108886,-2.17962163
MAP50108912,-2.246289354
MAP50109477,-0.8264930699999998
MAP50199993,-0.9105354989999999
MAP50300084,-1.483894627
MAP50300246,-1.781408113
MAP50300534,-1.3714792589999998
MAP50301099,-1.3131307250000002
MAP50301387,-0.288112977
MAP50301549,-1.311997623
MAP50301675,-1.3315131429999998
MAP50302266,-1.6318861020000002
MAP50302554,-1.2974312970000001
MAP50302716,-1.6645230960000001
MAP50302978,-2.0344238189999997
MAP50304024,-1.556101697
MAP50400259,-0.7274299979999999
MAP50400835,-1.306657672
MAP50400961,-1.777595949
MAP50401002,-2.142246894
MAP50401426,-1.4664330700000001
MAP50402017,-1.9571726469999997
MAP50402567,-1.7401432389999998
MAP50402693,-0.22299209700000014
MAP50402729,-1.604974134
MAP50405330,-1.5552133269999997
MAP50406057,-1.698845848
MAP50406345,-1.4655061470000004
MAP50407486,-1.7143556709999999
MAP50408077,-1.7701024930000002
MAP50409370,-0.33886041600000016
MAP50409956,-1.6364626460000002
MAP50410021,-1.3310489189999999
MAP50410283,-1.107826639
MAP50410319,-0.7885798090000001
MAP50500550,-0.16888935300000005
MAP51815338,-1.4535152309999997
MAP51903261,-2.087478256
MAP52940446,-1.302078729
MAP53389845,-0.5833010969999999
MAP53772202,-1.9534228780000003
MAP54122640,-1.3034608200000002
MAP54324848,-0.6226166759999999
MAP54458919,-1.404283044
MAP55177253,-1.950356812
MAP55820335,-1.6448982280000002
MAP56102646,-1.8784793139999998
MAP57978468,-0.722404574
MAP57978756,-1.8253881299999997
MAP59150662,-1.738896021
MAP59618707,-1.591623349
MAP60725338,-2.1990318400000004
MAP60848460,-0.370208238
MAP60922329,-0.37621353299999993
MAP61029627,-1.3056003299999999
MAP61142759,-1.3447834269999999
MAP61827429,-1.9364687420000002
MAP62301938,-0.9142091529999997
MAP63188799,-1.9548498409999997
MAP63649283,-1.6573690890000001
MAP63874408,-1.920821073
MAP64150173,-0.41929428800000007
MAP64287431,-1.018046468
MAP64291829,-0.625020073
MAP64493027,-0.522480136
MAP65001607,-1.3786934140000002
MAP65214844,-1.9128880510000001
MAP65652206,-1.824179167
MAP65736039,-0.7004402080000002
MAP66406040,-1.723332655
MAP66924745,-1.7100527369999996
MAP67185070,-1.255374023
MAP67216828,-1.6809631360000001
MAP67429065,-2.0556151710000004
MAP67725478,-1.667839218
MAP68015667,-0.39425285099999996
MAP68778359,-0.633626428
MAP69982533,-1.3302101849999999
MAP70153803,-0.4943837740000001
MAP70816595,-1.6314125749999997
MAP71648351,-1.6518365450000003
MAP71727427,-0.6406875429999997
MAP72188804,-1.2815716699999997
MAP72650337,-1.7726080600000003
MAP72777797,-1.855060923
MAP73763467,-1.4810094059999999
MAP73943687,-1.5471559379999997
MAP74753465,-0.8439134949999999
MAP75169847,-1.687127807
MAP75862131,-0.6421489480000002
MAP75990666,-0.9930335470000001
MAP76431098,-1.67706316
MAP76755449,-1.5180915659999998
MAP76867532,-1.711930404
MAP77239958,-1.3354454029999998
MAP77330002,-1.59401331
MAP77868579,-0.4573787939999998
MAP77970662,-1.4704131759999997
MAP78410089,-1.646593728
MAP78452313,-0.6828035879999999
MAP78905055,-2.079851698
MAP79692387,-1.7474418519999997
MAP80790863,-1.6693556670000003
MAP81086436,-2.068211537
MAP81852640,-1.129424922
MAP81874628,-1.045959482
MAP82317494,-1.667848236
MAP82684406,-1.452571836
MAP83984043,-0.6501274779999998
MAP84417209,-1.2744770539999999
MAP84642424,-1.2432814540000001
MAP84653463,-1.7387146610000002
MAP85065193,-1.5244888670000003
MAP85171938,-1.345675827
MAP85328131,-0.8339581380000001
MAP85980779,-1.6943595179999997
MAP86177506,-1.169566675
MAP86903794,-1.084920984
MAP87208386,-1.5320592240000002
MAP87779516,-1.8471224779999997
MAP89001223,-0.908415843
MAP89164957,-1.9219092740000003
MAP89546375,-1.4943501739999998
MAP89968269,-1.7881070879999996
MAP90267190,-1.895991301
MAP90447310,-1.5630575759999998
MAP90544686,-0.1852313400000002
MAP90942860,-0.45833098099999997
MAP91707643,-0.7569444059999999
MAP91921829,-1.328998727
MAP92023910,-1.955150969
MAP92113025,-1.6539757989999997
MAP92393245,-2.019002418
MAP92427316,-1.055689935
MAP92996364,-1.4647960479999995
MAP94430339,-1.445221475
MAP94974890,-1.2906561519999997
MAP95453354,-2.203580392
MAP96189273,-1.307072674
MAP96892753,-2.2529745360000004
MAP97220113,-1.702798436
MAP97264179,-1.6518165260000002
MAP98953007,-0.7536862310000003
MAP99110004,-1.455295912
ROS10100574,-1.4047816039999999
ROS10100736,-0.5558101409999999
ROS10203224,-1.6385587140000004
ROS10221262,-2.003038709
ROS10222853,-1.8206575299999996
ROS10246987,-1.1203891609999996
ROS10253148,-1.583547664
ROS10263208,-1.8094787529999998
ROS10290427,-0.39731886500000013
