sample_id,score
MAP12788806,1.3637781400000002
MAP13485298,0.8694083599999998
MAP13747771,1.3967114699999998
MAP14184286,1.41534235
MAP14452889,1.3651354899999997
MAP14498577,0.8531228399999996
MAP15387421,1.0878250500000002
MAP16322424,1.3869316699999998
MAP16513683,1.2558164500000002
MAP17929065,1.0413091100000003
MAP18920002,1.02667427
MAP21362537,1.0593465
MAP22776575,1.36979381
MAP22868024,1.6314734399999997
MAP23004922,1.4327888400000002
MAP24073245,1.7425477999999999
MAP24141372,1.6894130800000002
MAP24219409,1.4393515100000003
MAP24644776,1.4121445599999998
MAP24680888,1.2319610300000001
MAP24747976,1.4979817700000002
MAP25580771,1.1639747800000002
MAP27242962,1.2630983599999996
MAP27313862,1.39655025
MAP27481601,1.7514402100000004
MAP29821047,1.4218037600000002
MAP31504924,1.47765989
MAP31509843,1.74679636
MAP31756046,1.8722923099999997
MAP32383679,1.2428513
MAP32705437,1.43339563
MAP33084399,1.1319712599999998
MAP33400773,1.6237066000000002
MAP33501827,1.66031744
MAP34726040,1.4750246700000005
MAP34962204,1.3806690300000002
MAP35072859,1.1823347000000002
MAP35170130,1.11132543
MAP35286551,0.46166791000000007
MAP35592862,0.8841782499999999
MAP35941263,1.5911138500000002
MAP36773029,1.6462646399999998
MAP36830117,1.12048314
MAP37178462,1.3305783199999999
MAP37251992,1.30788498
MAP37439930,0.98666657
MAP37527863,1.1524446700000002
MAP38606123,1.3771172799999996
MAP39125441,0.9137018299999999
MAP39136480,1.78924812
MAP39316600,1.4840217000000002
MAP39800111,1.09375927
MAP39989287,1.5089487999999998
MAP40510997,1.61258368
MAP40611041,1.44205018
MAP41265021,1.6106054199999997
MAP42988567,1.0453288900000002
MAP43074402,1.0494927300000003
MAP43485807,1.59133718
MAP43536587,1.91403652
MAP44019405,1.2680771799999997
MAP44299049,1.8519752500000002
MAP44472870,1.14104326
MAP44671043,2.06325411
MAP45115248,1.0930077500000004
MAP45514725,1.2464045300000002
MAP45566083,1.1408963600000002
MAP46000440,1.86154367
MAP46291609,1.6629002000000002
MAP46369736,1.2904188600000002
MAP46547648,1.1582805099999998
MAP47315778,1.59602284
MAP47652086,1.8565749000000002
MAP48013463,1.16151096
MAP48697089,1.1994013000000001
MAP50100770,1.5778991100000002
MAP50100932,1.1004849400000003
MAP50101073,1.3304832400000002
MAP50101109,1.7303054199999999
MAP50102088,1.88729474
MAP50102376,1.2810068799999998
MAP50102790,1.9261125699999997
MAP50103093,1.2245794799999998
MAP50103129,1.4904748799999998
MAP50103381,1.2553869800000002
MAP50104396,1.2962200799999999
MAP50105301,1.6318393600000005
MAP50105987,1.19864542
MAP50106280,1.7297284300000002
MAP50106316,0.98782921
MAP50106442,1.0417038900000002
MAP50106992,1.7656589500000002
MAP50107745,1.5586418099999997
MAP50107871,1.3035514199999998
MAP50107907,1.5075416000000001
MAP50108048,1.3986885399999998
MAP50108462,1.5543348600000004
MAP50108598,1.8272969399999999
MAP50108886,1.0270303000000003
MAP50108912,0.9895466
MAP50109477,1.1925387299999999
