sample_id,score
MAP12788806,3.3236315265991903
MAP13485298,2.7747797042269005
MAP13747771,3.2355213944090395
MAP14184286,3.1857551798928703
MAP14452889,3.4453586514792
MAP14498577,3.35346934100636
MAP15387421,2.6528920711388198
MAP16322424,3.3973855453502804
MAP16513683,3.68386159831881
MAP17929065,2.8210420065486908
MAP18920002,3.24986405124661
MAP21362537,3.3476635281245106
MAP22776575,2.6692432938468604
MAP22868024,3.4776447359593106
MAP23004922,3.0099914662837004
MAP24073245,2.31539333767221
MAP24141372,2.94150458130576
MAP24219409,2.84416054197256
MAP24644776,2.9233150659745806
MAP24680888,3.17769860333892
MAP24747976,2.6220919463847205
MAP25580771,3.1746103040699007
MAP27242962,3.4765237294806104
MAP27313862,2.5479661968742
MAP27481601,3.19296593660378
MAP29821047,2.74800890089241
MAP31504924,2.92780136746328
MAP31509843,2.85707142859055
MAP31756046,3.0364119623202
MAP32383679,3.00446413263529
MAP32705437,2.25632341095478
MAP33084399,3.00914331203708
MAP33400773,2.6835389509014203
MAP33501827,3.2811434048706705
MAP34726040,2.79724339407432
MAP34962204,3.2656208615493503
MAP35072859,2.8908064125921498
MAP35170130,3.5356292196550796
MAP35286551,2.89244494541468
MAP35592862,2.8102695481382898
MAP35941263,2.68192268111647
MAP36773029,2.9689324008912306
MAP36830117,2.91615318518947
MAP37178462,3.2079543521527403
MAP37251992,3.0560621835240704
MAP37439930,3.39579194623272
MAP37527863,3.384928109781861
MAP38606123,2.7294930295841304
MAP39125441,2.9545759539596492
MAP39136480,3.17966854374436
MAP39316600,2.8773611479587
MAP39800111,2.90895861528946
MAP39989287,2.9034719076713604
MAP40510997,2.70804661570273
MAP40611041,2.6636772793705896
MAP41265021,2.88856146591949
MAP42988567,3.0941531263960003
MAP43074402,3.4147110065475803
MAP43485807,3.0730896734979702
MAP43536587,2.76374228838606
MAP44019405,3.0810632128043705
MAP44299049,2.8760405247889698
MAP44472870,3.0593471036997
MAP44671043,2.7191621722201695
MAP45115248,2.5255364111392895
MAP45514725,3.0252479713449203
MAP45566083,2.5800779328869003
MAP46000440,2.7808625562843305
MAP46291609,2.86549006719126
MAP46369736,2.92367149376728
MAP46547648,2.6523247538556407
MAP47315778,2.6362635557518996
MAP47652086,2.62852423758761
MAP48013463,2.91870130609704
MAP48697089,2.90606156391799
MAP50100770,3.04403499567389
MAP50100932,2.70539620187864
MAP50101073,3.3791119731723502
MAP50101109,2.8234899953890804
MAP50102088,3.0082057377422804
MAP50102376,2.66362850024987
MAP50102790,2.7063513032665703
MAP50103093,3.3602564003517994
MAP50103129,2.9965632488120497
MAP50103381,3.53410115971217
MAP50104396,3.25624269809103
MAP50105301,3.014927548750151
MAP50105987,3.0928635905051802
MAP50106280,2.5069780786928004
MAP50106316,2.8068716629520605
MAP50106442,3.09151427581922
MAP50106992,2.6779347821429202
MAP50107745,2.8509059672549704
MAP50107871,2.98815172172319
MAP50107907,2.3676389520008603
MAP50108048,2.6808456088788604
MAP50108462,2.5355589817795905
MAP50108598,2.7108065893708604
MAP50108886,3.54457295908915
MAP50108912,2.8181234805781203
MAP50109477,3.02056216817775
MAP50199993,2.9068121818538004
MAP50300084,2.9971195538694
MAP50300246,2.70289418018909
MAP50300534,2.33047736793914
MAP50301099,2.7690190294691996
MAP50301387,3.3368328911706904
MAP50301549,2.3955054256648705
MAP50301675,3.1550250934836606
MAP50302266,3.28647891400352
MAP50302554,2.99518913464159
MAP50302716,3.1183706045193604
MAP50302978,3.2960483702716297
MAP50304024,3.22407369008705
MAP50400259,3.06234180631529
MAP50400835,2.49794242808712
MAP50400961,2.8992437025760505
MAP50401002,2.7258952450615803
MAP50401426,2.69773960979561
MAP50402017,3.0517220160389504
MAP50402567,3.07067373466025
MAP50402693,2.88988993713947
MAP50402729,3.0840545490092
MAP50405330,3.16404315941853
MAP50406057,3.03807833417224
MAP50406345,3.4993623999071004
MAP50407486,3.08057478956362
MAP50408077,3.4235978025107903
MAP50409370,3.2045938715540103
MAP50409956,2.87900029110196
MAP50410021,3.12558765421014
MAP50410283,3.3609052148532204
MAP50410319,2.43662879149257
MAP50500550,3.0630420997614007
MAP51815338,3.432129423464011
MAP51903261,2.9463200703951005
MAP52940446,2.8890444329208798
MAP53389845,2.6311502011005503
MAP53772202,3.1119128367623103
MAP54122640,3.0404489267663
MAP54324848,3.18670697705125
MAP54458919,2.9847611042477102
MAP55177253,2.5281780199571897
MAP55820335,3.4456145921777006
MAP56102646,3.0401018081611304
MAP57978468,3.115077143824821
MAP57978756,3.2328637115756
MAP59150662,3.37211169299865
MAP59618707,2.87088457613809
MAP60725338,2.71238362722967
MAP60848460,3.15469802391649
MAP60922329,3.6403604711094193
MAP61029627,3.2148485584777604
MAP61142759,3.0640477216638207
MAP61827429,3.1943398639684606
MAP62301938,2.8448038630120203
MAP63188799,3.03025069715851
MAP63649283,2.96485422553995
MAP63874408,3.415830595802541
MAP64150173,2.8809547406371605
MAP64287431,2.59241401471465
MAP64291829,3.3084198398753397
MAP64493027,3.21686142785203
MAP65001607,2.75900049886191
