sample_id,score
816,0.255
141,-0.190407
812,-0.794698
1214,-0.301849
1159,0.846221
11428,0.2336830000000001
834,-0.511
1944,-0.619
1200,-0.5720000000000001
976,-0.644
11319,-0.571547
828,-0.349
1047,-0.310054
742,0.49454
786,-0.734151
952,0.254245
1929,-0.508628
1005,-0.349302
11317,-0.597
129,-0.373849
1089,-0.945442
1036,-0.524849
1937,-0.234813
1923,-0.445745
1027,0.287442
134,-0.616492
11396,-0.151
11398,-0.5665119999999999
777,0.0213019999999999
11485,-0.14634
766,-0.7090000000000001
11266,-0.625733
11470,-0.4389999999999999
11432,-0.223
11474,-0.511302
11422,-0.795
1275,0.407814
849,-0.644
896,-0.301849
11400,-0.7989999999999999
11386,-0.510777
1942,-0.8600000000000001
991,-0.3020759999999999
11337,-0.285571
1015,-0.812396
1000,-0.511
1964,0.3634769999999999
11469,-0.5601400000000001
11339,0.032892
11322,0.590035
719,-0.446
11288,-0.0460689999999999
744,-0.369256
1926,-1.256287
933,-1.034037
1963,-1.795777
962,0.197043
937,-0.742719
1302,-0.259349
11389,-0.0019759999999999
11385,0.026645
11311,-1.0638820000000002
1166,-0.1508489999999999
11431,-0.644
11325,-0.2729300000000001
11393,-1.225407
11263,-0.661331
1945,-0.5720000000000001
142,-0.4353769999999999
948,-0.223
11463,-0.198151
11429,-0.856214
813,-0.592356
775,-0.285373
11430,-0.7084830000000001
1121,-0.223151
1938,-0.372871
1129,-0.051593
1105,-0.97428
783,-0.469275
1052,-0.105178
11241,-0.349
843,-0.349654
11468,-0.1601230000000001
135,-0.4657699999999999
731,-0.916216
801,-0.4363569999999999
1059,-0.489219
1959,-0.446198
1956,-0.1897789999999999
1924,-0.662
1271,-0.976539
7098,-0.367386
732,-0.787849
1078,-0.4389999999999999
1098,-0.662
1919,-0.4372209999999999
1936,-0.522433
14549,-0.198
1058,-0.884698
1933,0.10349
11394,-1.058
1282,-0.3419999999999999
11294,-0.374
11391,-0.317892
1119,-0.2262559999999999
1203,0.7437360000000001
11289,-0.510745
1934,0.255
11395,-1.541373
1239,-0.556439
14553,0.104
11326,-0.407446
716,-0.4303869999999999
1085,-0.198
894,-0.571547
1034,-0.2580179999999999
7095,-0.734
966,-0.2881979999999999
1146,-0.572072
1103,-0.2572799999999999
1104,-1.173
1114,-1.651765
1943,-0.707848
1955,-0.1184069999999999
1183,-0.151
1960,-0.287558
1940,-0.511
11476,-0.288
1941,-1.058435
7099,-0.5752349999999999
791,-0.299768
1953,-0.224308
1258,-0.374
14552,0.0315469999999999
1958,0.006019
11320,-0.000604
11323,-0.608263
746,-0.116593
1010,-0.511
1931,-0.069
11314,-0.635272
11472,-0.1838489999999999
11342,0.243439
850,-0.515
1029,-0.72956
785,-1.39024
981,-0.446
736,-0.256
1019,-1.471441
1046,-0.013719
797,0.0
931,-0.5877680000000001
751,0.846304
1045,0.0607539999999999
1137,0.2410179999999999
787,-0.3443019999999999
11399,-0.198
859,-0.256
886,-0.860755
11265,-0.093372
11465,-0.511151
11340,0.395633
946,-0.8116410000000001
1172,-0.590713
871,-0.637
1935,0.365613
11293,-0.223
11417,-0.3752209999999999
1952,-0.372339
851,-0.34455
1195,-0.931184
11397,-0.151
1932,-0.2883159999999999
11321,-1.262923
149,-0.288
1123,-0.661396
1951,-0.544198
11341,-0.861308
892,-0.1438839999999999
